longShortRatio,shortAccount,time,longAccount,low,high,open,volume,close
2.15,31.74,1661385600,68.26,21295.3,21810.9,21355.0,415757.992,21548.3
1.65,37.77,1661472000,62.23,20100.0,21867.6,21548.3,896474.356,20228.7
1.95,33.96,1661558400,66.04,19744.0,20367.7,20228.7,469598.024,20023.9
2.01,33.25,1661644800,66.75,19508.0,20155.0,20024.0,386405.195,19547.5
2.13,31.97,1661731200,68.03,19539.4,20440.0,19547.5,598076.669,20275.5
1.84,35.24,1661817600,64.76,19524.4,20574.0,20275.5,767714.993,19803.1
2.4,29.39,1661904000,70.61,19787.9,20496.0,19803.2,711639.339,20041.5
1.87,34.79,1661990400,65.21,19555.0,20198.3,20041.4,691594.721,20122.5
2.16,31.7,1662076800,68.3,19736.0,20434.3,20122.6,669047.816,19941.0
2.38,29.55,1662163200,70.45,19628.7,20050.0,19941.0,285240.989,19820.7
